conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/1f2b8092-1787-4ef4-9282-cf81ce4b4d76,8343,مشغل الرافعة المحمولة / مشغلة الرافعة المحمولة,,,released,2024-01-16T09:46:19.947Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يعمل مشغلو الرافعات المحمولة باستخدام مجموعة متنوعة من أنواع الرافعات التي يمكن حملها بسهولة حول الطرق والسكك الحديدية والمياه. وغالبًا ما يتم تركيب الرافعات المحمولة على شاحنات.,8343.3,http://data.europa.eu/ux2/nace2.1/4399
Occupation,http://data.europa.eu/esco/occupation/1f305576-f57c-42c7-a139-728c72393cd4,3311,تاجر الطاقة / تاجرة الطاقة,,,released,2024-01-24T15:44:41.037Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يبيع تجار الطاقة أسهم الطاقة أو يشترونها، وأحيانًا من مصادر مختلفة. ويحللون سوق الطاقة ويبحثون عن الاتجاهات في الأسعار لتحديد وقت شراء الأسهم أو بيعها وضمان تحقيق أقصى أرباح. ويقومون بإجراء الحسابات، ويكتبون تقارير حول إجراءات تداول الطاقة، ويضعون تنبؤات بشأن تطوير السوق.,3311.3.1,"http://data.europa.eu/ux2/nace2.1/6612,
http://data.europa.eu/ux2/nace2.1/354"
Occupation,http://data.europa.eu/esco/occupation/1f31c047-3d72-45fe-83ff-91bd826913c6,9129,منظف المجاري / منظفة المجاري,,,released,2025-06-25T07:45:00.959Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقوم منظفو المجاري بصيانة وتنظيف أنظمة الصرف الصحي والأنابيب الخاصة بها داخل المجتمعات. وهم يُزيلون الانسدادات التي توقف تدفق الصرف الصحي لضمان التشغيل السلس للأنظمة.,9129.2,http://data.europa.eu/ux2/nace2.1/370
Occupation,http://data.europa.eu/esco/occupation/1f5932eb-b36d-44e1-a063-7aa9e228af51,3412,عامل دعم الرعاية البديلة / عاملة دعم الرعاية البديلة,,,released,2023-12-21T09:26:34.11Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يساعد عاملو دعم الرعاية البديلة ويدعمون الأطفال الذين يعانون من إساءة المعاملة النفسية أو البدنية ليتم فصلهم قانونيًا عن آبائهم. فهم يساعدونهم على التعافي من خلال وضعهم مع أسر مناسبة والتأكد من أن رعاية الأطفال ذات أولوية قصوى لديهم.,3412.4.6,http://data.europa.eu/ux2/nace2.1/8899
Occupation,http://data.europa.eu/esco/occupation/1f665529-96e9-46c1-99f4-9ffbf9ffa036,4312,كاتب تدقيق / موظفة تدقيق,,,released,2024-01-16T14:31:20.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يتولى كُتّاب التدقيق جمع البيانات المالية ومراجعتها، مثل معاملات المخزون بالنسبة للمؤسسات والشركات والتأكد من أنها دقيقة والحفاظ عليها بشكل صحيح والتأكد من أنها مفهومة. ويراجعون الأرقام في قواعد البيانات والمستندات ويقيّمون ويقدمون المشورة والمساعدة لمصدر المعاملة إذا لزم الأمر، بمن فيهم المحاسبين أو المديرين أو الموظفين الآخرين.,4312.1,http://data.europa.eu/ux2/nace2.1/692
Occupation,http://data.europa.eu/esco/occupation/1f8314c2-01bd-4af4-babc-04d7034591b8,3142,فني زراعي,,,released,2024-01-24T15:34:25.75Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقوم الفنيون الزراعيون بجمع التجارب والاختبارات وإجرائها على عينات الزراعة واستزراع الأحياء المائية. كما يُقدمون الدعم للعلماء والمزارعين ويحللون الظروف في بيئات العينات المجمعة ويبلغون عنها.,3142.1,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/015,
http://data.europa.eu/ux2/nace2.1/032,
http://data.europa.eu/ux2/nace2.1/7499,
http://data.europa.eu/ux2/nace2.1/0162,
http://data.europa.eu/ux2/nace2.1/0161"
Occupation,http://data.europa.eu/esco/occupation/1f8967ce-9faa-4d56-a656-50e041f7d07e,1321,مدير جودة السلع الجلدية / مديرة جودة السلع الجلدية,,,released,2024-01-26T16:58:26.728Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يتولى مديرو جودة المنتجات الجلدية إدارة أنظمة ضمان الجودة المُطبّقة في المؤسسات وتعزيزها. وهم يقومون بتنفيذ المهام من أجل تحقيق المتطلبات والأهداف المحددة مسبقًا، وتعزيز التواصل الداخلي والخارجي، مع السعي نحو التحسين المستمر ورضا العميل.,1321.2.2.2,http://data.europa.eu/ux2/nace2.1/15
Occupation,http://data.europa.eu/esco/occupation/1f958638-066f-470c-9549-a9070ba280a6,2149,مهندس مكونات / مهندسة مكونات,,,released,2024-01-23T11:02:15.55Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقوم مهندسو المكونات بتصميم وتطوير الهندسة الخاصة بالأجزاء الصغيرة المختلفة التي تشكل مشروعًا أو آلة أو عملية أكبر. فهم يضمنون عدم تعارض الأجزاء من منظور هندسي.,2149.2.2,http://data.europa.eu/ux2/nace2.1/7112
Occupation,http://data.europa.eu/esco/occupation/1f97f6e6-0ac7-4e77-88ab-2e3801c5a223,2144,مهندس تدفئة وتهوية وتكييف هواء / مهندسة تدفئة وتهوية وتكييف هواء,,,released,2024-01-23T10:59:33.225Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يعمل مهندسو التدفئة والتهوية وتكييف الهواء على تصميم وتطوير أنظمة التدفئة والتهوية وتكييف الهواء وربما أنظمة التبريد لاستخدامها في أماكن الإقامة ومواقع التصنيع والمكاتب والمباني التجارية وما إلى ذلك. فهم يسعون جاهدين للحصول على حلول تلبي احتياجات العملاء والاستجابة للقيود المعمارية للمواقع.,2144.1.8,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/4322,
http://data.europa.eu/ux2/nace2.1/353,
http://data.europa.eu/ux2/nace2.1/2825"
Occupation,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,1112,دبلوماسي / دبلوماسية,,,released,2024-01-25T12:11:59.017Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يُمثّل الدبلوماسيون موطنهم الأم وحكومتهم في المنظمات الدولية. ويتفاوضون مع مسؤولي المنظمة لضمان حماية مصالح وطنهم، بالإضافة إلى تسهيل التواصل المثمر والودي بين الوطن والمنظمة الدولية.,1112.3,http://data.europa.eu/ux2/nace2.1/8421
