conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,skill/competence,transversal,حماية صحة الآخرين,released,,"تجنب الضرر ومساعدة أفراد الأسرة والضحايا والإخوة المواطنين على التعافي، بما في ذلك التصرفات الملائمة في حالات الحوادث مثل تقديم الإسعافات الأولية.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,تطبيق المهارات والخبرات الخاصة بالصحة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,skill/competence,transversal,الإشراف على المناقشات,released,,"تطبيق تقنيات ووسائل الوساطة لقيادة المناقشات بين طرفين أو أكثر، بما في ذلك المواقف مثل ورشات العمل والمؤتمرات أو الأحداث على الخط. ضمان سير المناقشة بشكل صحيح ومهذب.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,تبادل الاتصال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,skill/competence,transversal,تطبيق المعرفة العلمية والتكنولوجية والهندسية.,released,,"تنمية وتطبيق الوعي بالعالم المادي والمبادئ التي تحكمه، مثلا من خلال عمل التوقعات المعقولة حول الأسباب والآثار، وتصور تجربة هذه التوقعات وإجراء القياسات بواسطة الوحدات والأدوات والمعدات المناسبة.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,تطبيق المعارف العامة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,skill/competence,transversal,معالجة المعلومات في الحيز,released,,"القدرة على التخيل ذهنياَ وضع وعلاقة الأجسام في حيز ثلاثي الأبعاد، وتنمية ملكة الشعور بالنسَب.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,العمل مع الأرقام والمقاييس
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,skill/competence,transversal,احترام تنوع القيم الثقافية والمبادئ,released,,"التعبير عن خبرة مشاركة ثقافية واحترام مبادئ الشخص الثقافية وتقاليده. التعبير عن التسامح وتقدير القيم والتقاليد المختلفة التي يملكها الأفراد والثقافات المختلفة التي تنمو في ظروف مختلفة أو في أزمنة أو أماكن مختلفة.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,تطبيق المهارات والخبرات الخاصة بالمجتمع
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,skill/competence,transversal,التعامل مع الشك,released,,"تحمل الشك والعمل بشكل بناء في الظروف غير المتوقعة والتي لا يمكن التنبؤ بها.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,تبني موقف إيجابي باستمرار
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,skill/competence,transversal,مخاطبة الجمهور,released,,"مخاطبة مجموعة من المستمعين بطريقة منظَّمة ومدروسة ومباشرة لتوعيتهم أو التأثير فيهم أو تسليتهم.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,تبادل الاتصال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,skill/competence,transversal,العمل ضمن فرق,released,,العمل بثقة ضمن مجموعة يؤدي فيها كل فرد دوره في خدمة الكل.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,التعاون ضمن الفرق والشبكات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,skill/competence,transversal,اظهار الثقة,released,,إظهار درجات من النضج بالفهم الكامل لصفات الفرد وقدراته الخاصة، والتي يمكنها أن تشكل مصادر الثقة في مواقف مختلفة.,http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,تبني موقف إيجابي باستمرار
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,skill/competence,transversal,إعطاء تعليمات للآخرين,released,,إعطاء التوجيهات أو التعليمات للآخرين بتقديم المعلومات والدعم ذات الصلة.,http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,دعم الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,skill/competence,transversal,تشغيل جهاز رقمي,released,,"استخدام المعدات مثل الشاشة، الفأرة، لوحة المفاتيح، أجهزة التخزين، الطابعات والماسحات لإجراء عمليات من قبيل التوصيل، بدء التشغيل، القفل، إعادة التشغيل، حفظ الملفات وعمليات أخرى.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,العمل مع الأجهزة والتطبيقات الرقمية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,skill/competence,transversal,تنظيم المعلومات، والأغراض والموارد.,released,,"فهم ما يقع ضمن مسؤوليتك من مهام والإجراءات المتصلة بها. تنظيم المعلومات والأغراض والموارد بالاستعانة بوسائل منهجية وحسب المعايير المحددة والتأكد من التمكن من المهمة.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,التخطيط والتنظيم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,skill/competence,transversal,تفسير المعلومات الحسابية,released,,"التعبير عن فهم المفردات والمفاهيم الحسابية، وتطبيق الأسس الحسابية والعمليات لتفسير البيانات والحقائق.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,العمل مع الأرقام والمقاييس
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1,skill/competence,transversal,التعبير عن الوفاء,released,,"أن تظهر ارتباطك الوثيق بمجموعة ما أو بشركتك، بما في ذلك من خلال مشاركة قيمهم وتمثيلها.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,اتباع مدونة قواعد السلوك الأخلاقية
